matrix_idx,gesture_id,chain,generation,target,director,condition,participant,ent_type,code_string,code_len,num_reps,vid_len,phase,acc
109,ex2_ch1_g2_singer_B_TI,chain1,2,singer,B,Transmission + Interaction,full4,person,"1hPointSelf<self-repeated>,1hSing<right>",2.0,0.0,2.355838,testing,1.0
110,ex2_ch1_g2_handcuffs_B_TI,chain1,2,handcuffs,B,Transmission + Interaction,full4,obj,"2hHoldWrist<left>,2hHoldWrist<right>",2.0,1.0,2.141587,testing,1.0
111,ex2_ch1_g2_police_officer_B_TI,chain1,2,police officer,B,Transmission + Interaction,full4,person,"1hKnock<right>,1hBadge<left>,1hKnock<right>",3.0,1.0,3.616423,testing,1.0
112,ex2_ch1_g2_hair_salon_B_TI,chain1,2,hair salon,B,Transmission + Interaction,full4,loc,"2hBox<full>,1hScissors-HoldHair<left>,1hHoldHair<right>",3.0,0.0,2.838809,testing,1.0
113,ex2_ch1_g2_bible_B_TI,chain1,2,bible,B,Transmission + Interaction,full4,obj,"2hOpenBook<hold>,(1hPalm,1hPointatObj<atObj>),2hOpenBook<hold>",4.0,1.0,4.486407,testing,1.0
114,ex2_ch1_g2_darkroom_B_TI,chain1,2,darkroom,B,Transmission + Interaction,full4,loc,"Squint<rightleft>,Squint<leftright>",2.0,0.0,2.226408,testing,1.0
115,ex2_ch1_g2_microphone_B_TI,chain1,2,microphone,B,Transmission + Interaction,full4,obj,"Sing+1hMicrophone<hold>,1hPointatObj<atObj>",2.0,0.0,2.164964,testing,1.0
116,ex2_ch1_g2_to_preach_B_TI,chain1,2,to preach,B,Transmission + Interaction,full4,act,HeadShake+1hFingerwag<right>,1.0,0.0,2.241061,testing,1.0
117,ex2_ch1_g2_frying_pan_B_TI,chain1,2,frying pan,B,Transmission + Interaction,full4,obj,"1hHoldPan<shake>,(1hHoldPan<hold>,1hPointatObj<atObj>),1hHoldPan<shake>",4.0,2.0,2.432942,testing,1.0
118,ex2_ch1_g2_chef_B_TI,chain1,2,chef,B,Transmission + Interaction,full4,person,"1hPointSelf<self-repeated>,2hBowl-Mix,(1hBowl,1hPour<right>)",4.0,0.0,3.232805,testing,1.0
